,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,EarningsPerShareDiluted-0,EarningsPerShareDiluted-1,EarningsPerShareDiluted-2,EarningsPerShareDiluted-3,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,Revenues-0,Revenues-1,Revenues-2,Revenues-3,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,EntityCommonStockSharesOutstanding-0,MarketCap,splits,close,static_quantile,dynamic_quantile,category
2016-03-31,28057000000.0,34639000000.0,24952000000.0,22721000000.0,1827000000.0,1753000000.0,1599000000.0,1504000000.0,1.07,1.0,0.17,0.19,10262000000.0,11406000000.0,8603000000.0,8025000000.0,139000000.0,73000000.0,80000000.0,65000000.0,513000000.0,482000000.0,79000000.0,92000000.0,1071000000.0,1108000000.0,406000000.0,464000000.0,29128000000.0,35747000000.0,25358000000.0,23185000000.0,-3339000000.0,7503000000.0,1415000000.0,784000000.0,9416840700.0,279510658185.5415,0.0,29.68199920654297,29.147499084472656,29.71820068359375,6
2016-06-30,29119000000.0,28057000000.0,34639000000.0,24952000000.0,1909000000.0,1827000000.0,1753000000.0,1599000000.0,1.78,1.07,1.0,0.17,11224000000.0,10262000000.0,11406000000.0,8603000000.0,88000000.0,139000000.0,73000000.0,80000000.0,857000000.0,513000000.0,482000000.0,79000000.0,1285000000.0,1071000000.0,1108000000.0,406000000.0,30404000000.0,29128000000.0,35747000000.0,25358000000.0,1754000000.0,-3339000000.0,7503000000.0,1415000000.0,9436559200.0,337649508032.3059,0.0,35.78099822998047,36.277000427246094,35.782998657226564,6
2016-09-30,32139000000.0,29119000000.0,28057000000.0,34639000000.0,2084000000.0,1909000000.0,1827000000.0,1753000000.0,0.52,1.78,1.07,1.0,11454000000.0,11224000000.0,10262000000.0,11406000000.0,91000000.0,88000000.0,139000000.0,73000000.0,252000000.0,857000000.0,513000000.0,482000000.0,575000000.0,1285000000.0,1071000000.0,1108000000.0,32714000000.0,30404000000.0,29128000000.0,35747000000.0,2645000000.0,1754000000.0,-3339000000.0,7503000000.0,9481470840.0,396946530762.1903,0.0,41.865501403808594,40.28749847412109,38.65339889526367,6
2016-12-31,42486000000.0,32139000000.0,29119000000.0,28057000000.0,2297000000.0,2084000000.0,1909000000.0,1827000000.0,1.54,0.52,1.78,1.07,14782000000.0,11454000000.0,11224000000.0,10262000000.0,95000000.0,91000000.0,88000000.0,139000000.0,749000000.0,252000000.0,857000000.0,513000000.0,1255000000.0,575000000.0,1285000000.0,1071000000.0,43741000000.0,32714000000.0,30404000000.0,29128000000.0,8646000000.0,2645000000.0,1754000000.0,-3339000000.0,9503330540.0,356313121281.34094,0.0,37.493499755859375,38.457001495361325,40.949501037597656,6
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9543412360.0,423030836478.0598,0.0,44.32699966430664,42.68270111083984,42.615501403808594,6
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9559509980.0,462680297618.65466,0.0,48.400001525878906,50.21689987182617,49.764599609375,6
2017-09-30,43397000000.0,37327000000.0,34709000000.0,42486000000.0,2912000000.0,2633000000.0,2435000000.0,543000000.0,0.52,0.4,1.48,1.54,16195000000.0,14504000000.0,13274000000.0,14782000000.0,172000000.0,447000000.0,246000000.0,95000000.0,256000000.0,197000000.0,724000000.0,749000000.0,347000000.0,628000000.0,1005000000.0,1255000000.0,43744000000.0,37955000000.0,35714000000.0,43741000000.0,777000000.0,1040117647.0588236,-4378882352.941176,8238000000.0,9607590340.0,461812858929.9636,0.0,48.067501068115234,49.00459976196289,50.04330139160156,6
2017-12-31,58326000000.0,43397000000.0,37327000000.0,34709000000.0,3498000000.0,2912000000.0,2633000000.0,2435000000.0,3.75,0.52,0.4,1.48,21958000000.0,16195000000.0,14504000000.0,13274000000.0,92000000.0,172000000.0,447000000.0,246000000.0,1856000000.0,256000000.0,197000000.0,724000000.0,2127000000.0,347000000.0,628000000.0,1005000000.0,60453000000.0,43744000000.0,37955000000.0,35714000000.0,8725000000.0,777000000.0,1040117647.0588236,-4378882352.941176,9637443500.0,563535045732.687,0.0,58.4734992980957,58.95700073242188,58.4734992980957,6
2018-03-31,49115000000.0,58326000000.0,43397000000.0,37327000000.0,3671000000.0,3498000000.0,2912000000.0,2633000000.0,3.27,3.75,0.52,0.4,20307000000.0,21958000000.0,16195000000.0,14504000000.0,513000000.0,92000000.0,172000000.0,447000000.0,1629000000.0,1856000000.0,256000000.0,197000000.0,1927000000.0,2127000000.0,347000000.0,628000000.0,51042000000.0,60453000000.0,43744000000.0,37955000000.0,-4889000000.0,8725000000.0,777000000.0,1040117647.0588236,9682143660.0,700667658922.809,0.0,72.36699676513672,78.97420349121094,76.32079772949218,6
2018-06-30,49903000000.0,49115000000.0,58326000000.0,43397000000.0,3630000000.0,3671000000.0,3498000000.0,2912000000.0,5.07,3.27,3.75,0.52,22254000000.0,20307000000.0,21958000000.0,16195000000.0,300000000.0,513000000.0,92000000.0,172000000.0,2534000000.0,1629000000.0,1856000000.0,256000000.0,2983000000.0,1927000000.0,2127000000.0,347000000.0,52886000000.0,51042000000.0,60453000000.0,43744000000.0,4206000000.0,-4889000000.0,8725000000.0,777000000.0,9704538080.0,824788670688.0701,0.0,84.98999786376953,85.79850006103516,84.6010971069336,6
2018-09-30,52852000000.0,49903000000.0,49115000000.0,58326000000.0,3778000000.0,3630000000.0,3671000000.0,3498000000.0,5.75,5.07,3.27,3.75,23573000000.0,22254000000.0,20307000000.0,21958000000.0,200000000.0,300000000.0,513000000.0,92000000.0,2883000000.0,2534000000.0,1629000000.0,1856000000.0,3724000000.0,2983000000.0,1927000000.0,2127000000.0,56576000000.0,52886000000.0,51042000000.0,60453000000.0,5236000000.0,4206000000.0,-4889000000.0,8725000000.0,9754823780.0,976945616451.6798,0.0,100.1500015258789,100.1500015258789,98.5094985961914,6
2018-12-31,68597000000.0,52852000000.0,49903000000.0,49115000000.0,4262000000.0,3778000000.0,3630000000.0,3671000000.0,6.04,5.75,5.07,3.27,27597000000.0,23573000000.0,22254000000.0,20307000000.0,171000000.0,200000000.0,300000000.0,513000000.0,3027000000.0,2883000000.0,2534000000.0,1629000000.0,3786000000.0,3724000000.0,2983000000.0,1927000000.0,72383000000.0,56576000000.0,52886000000.0,51042000000.0,12743000000.0,5236000000.0,4206000000.0,-4889000000.0,9779372560.0,734416240638.3221,0.0,75.09850311279297,82.97059936523438,88.20149993896484,6
2019-03-31,55280000000.0,68597000000.0,52852000000.0,49903000000.0,4854000000.0,4262000000.0,3778000000.0,3630000000.0,7.09,6.04,5.75,5.07,25780000000.0,27597000000.0,23573000000.0,22254000000.0,168000000.0,171000000.0,200000000.0,300000000.0,3561000000.0,3027000000.0,2883000000.0,2534000000.0,4420000000.0,3786000000.0,3724000000.0,2983000000.0,59700000000.0,72383000000.0,56576000000.0,52886000000.0,-1444000000.0,12743000000.0,5236000000.0,4206000000.0,9824057800.0,874709531377.1775,0.0,89.0374984741211,88.77789764404297,84.97159729003907,6
2019-06-30,60320000000.0,55280000000.0,68597000000.0,52852000000.0,5202000000.0,4854000000.0,4262000000.0,3778000000.0,5.22,7.09,6.04,5.75,27067000000.0,25780000000.0,27597000000.0,23573000000.0,283000000.0,168000000.0,171000000.0,200000000.0,2625000000.0,3561000000.0,3027000000.0,2883000000.0,3084000000.0,4420000000.0,3786000000.0,3724000000.0,63404000000.0,59700000000.0,72383000000.0,56576000000.0,5556000000.0,-1444000000.0,12743000000.0,5236000000.0,9846635520.0,932294253440.3906,0.0,94.68150329589844,95.25909729003908,95.464599609375,6
2019-09-30,66824000000.0,60320000000.0,55280000000.0,68597000000.0,5563000000.0,5202000000.0,4854000000.0,4262000000.0,4.23,5.22,7.09,6.04,28679000000.0,27067000000.0,25780000000.0,27597000000.0,241000000.0,283000000.0,168000000.0,171000000.0,2134000000.0,2625000000.0,3561000000.0,3027000000.0,3157000000.0,3084000000.0,4420000000.0,3786000000.0,69981000000.0,63404000000.0,59700000000.0,72383000000.0,3195000000.0,5556000000.0,-1444000000.0,12743000000.0,9893120300.0,858678339905.838,0.0,86.79550170898438,91.67549896240234,97.24519653320311,6
2019-12-31,83558000000.0,66824000000.0,60320000000.0,55280000000.0,6170000000.0,5563000000.0,5202000000.0,4854000000.0,6.47,4.23,5.22,7.09,33460000000.0,28679000000.0,27067000000.0,25780000000.0,-1573000000.0,241000000.0,283000000.0,168000000.0,3268000000.0,2134000000.0,2625000000.0,3561000000.0,3879000000.0,3157000000.0,3084000000.0,4420000000.0,87437000000.0,69981000000.0,63404000000.0,59700000000.0,14347000000.0,3195000000.0,5556000000.0,-1444000000.0,9915944400.0,916153918058.606,0.0,92.39199829101562,90.18890075683596,89.5719985961914,6
2020-03-31,71463000000.0,83558000000.0,66824000000.0,60320000000.0,5362000000.0,6170000000.0,5563000000.0,5202000000.0,5.01,6.47,4.23,5.22,31195000000.0,33460000000.0,28679000000.0,27067000000.0,305000000.0,-1573000000.0,241000000.0,283000000.0,2535000000.0,3268000000.0,2134000000.0,2625000000.0,3989000000.0,3879000000.0,3157000000.0,3084000000.0,75452000000.0,87437000000.0,69981000000.0,63404000000.0,-3731000000.0,14347000000.0,3195000000.0,5556000000.0,9956208880.0,970590979483.3588,0.0,97.48600006103516,96.36219940185546,102.48909759521484,6
2020-06-30,83069000000.0,71463000000.0,83558000000.0,66824000000.0,5748000000.0,5362000000.0,6170000000.0,5563000000.0,10.3,5.01,6.47,4.23,36252000000.0,31195000000.0,33460000000.0,28679000000.0,486000000.0,305000000.0,-1573000000.0,241000000.0,5243000000.0,2535000000.0,3268000000.0,2134000000.0,5843000000.0,3989000000.0,3879000000.0,3157000000.0,88912000000.0,75452000000.0,87437000000.0,69981000000.0,13147000000.0,-3731000000.0,14347000000.0,3195000000.0,9975520640.0,1376033235369.639,0.0,137.9409942626953,134.64349365234375,128.04520263671876,6
2020-09-30,89951000000.0,83069000000.0,71463000000.0,83558000000.0,6523000000.0,5748000000.0,5362000000.0,6170000000.0,12.37,10.3,5.01,6.47,39039000000.0,36252000000.0,31195000000.0,33460000000.0,502000000.0,486000000.0,305000000.0,-1573000000.0,6331000000.0,5243000000.0,2535000000.0,3268000000.0,6194000000.0,5843000000.0,3989000000.0,3879000000.0,96145000000.0,88912000000.0,75452000000.0,87437000000.0,901000000.0,13147000000.0,-3731000000.0,14347000000.0,10017793020.0,1577166199866.473,0.0,157.43649291992188,164.7310028076172,164.23599243164062,6
2020-12-31,118682000000.0,89951000000.0,83069000000.0,71463000000.0,7618000000.0,6523000000.0,5748000000.0,5362000000.0,14.09,12.37,10.3,5.01,46271000000.0,39039000000.0,36252000000.0,31195000000.0,420000000.0,502000000.0,486000000.0,305000000.0,7222000000.0,6331000000.0,5243000000.0,2535000000.0,6873000000.0,6194000000.0,5843000000.0,3989000000.0,125555000000.0,96145000000.0,88912000000.0,75452000000.0,15608000000.0,901000000.0,13147000000.0,-3731000000.0,10035023660.0,1634168446148.7927,0.0,162.84649658203125,160.6216033935547,163.004296875,6
2021-03-31,99653000000.0,118682000000.0,89951000000.0,83069000000.0,7508000000.0,7618000000.0,6523000000.0,5748000000.0,15.79,14.09,12.37,10.3,46115000000.0,46271000000.0,39039000000.0,36252000000.0,801000000.0,420000000.0,502000000.0,486000000.0,8107000000.0,7222000000.0,6331000000.0,5243000000.0,8865000000.0,6873000000.0,6194000000.0,5843000000.0,108518000000.0,125555000000.0,96145000000.0,88912000000.0,-7869000000.0,15608000000.0,901000000.0,13147000000.0,10071294860.0,1558069547156.9773,0.0,154.70399475097656,154.61520080566407,163.9741973876953,6
2021-06-30,105378000000.0,99653000000.0,118682000000.0,89951000000.0,8038000000.0,7508000000.0,7618000000.0,6523000000.0,15.12,15.79,14.09,12.37,48904000000.0,46115000000.0,46271000000.0,39039000000.0,1803000000.0,801000000.0,420000000.0,502000000.0,7778000000.0,8107000000.0,7222000000.0,6331000000.0,7702000000.0,8865000000.0,6873000000.0,6194000000.0,113080000000.0,108518000000.0,125555000000.0,96145000000.0,-1573000000.0,-7869000000.0,15608000000.0,901000000.0,10086474720.0,1734954299312.4316,0.0,172.00799560546875,173.02739868164062,170.5124969482422,6
2021-09-30,105960000000.0,105378000000.0,99653000000.0,118682000000.0,8948000000.0,8038000000.0,7508000000.0,7618000000.0,6.12,15.12,15.79,14.09,47882000000.0,48904000000.0,46115000000.0,46271000000.0,750000000.0,1803000000.0,801000000.0,420000000.0,3156000000.0,7778000000.0,8107000000.0,7222000000.0,4852000000.0,7702000000.0,8865000000.0,6873000000.0,110812000000.0,113080000000.0,108518000000.0,125555000000.0,-8435000000.0,-1573000000.0,-7869000000.0,15608000000.0,10128810400.0,1663677354692.9563,0.0,164.2519989013672,173.90249633789062,179.40719604492188,6
2021-12-31,133952000000.0,105960000000.0,105378000000.0,99653000000.0,9802000000.0,8948000000.0,8038000000.0,7508000000.0,27.79,6.12,15.12,15.79,54577000000.0,47882000000.0,48904000000.0,46115000000.0,334000000.0,750000000.0,1803000000.0,801000000.0,14323000000.0,3156000000.0,7778000000.0,8107000000.0,3460000000.0,4852000000.0,7702000000.0,8865000000.0,137412000000.0,110812000000.0,113080000000.0,108518000000.0,3151000000.0,-8435000000.0,-1573000000.0,-7869000000.0,10142952400.0,1691002546982.8186,0.0,166.7169952392578,172.21200561523438,175.99119567871094,6
2022-03-31,112775000000.0,133952000000.0,105960000000.0,105378000000.0,8978000000.0,9802000000.0,8948000000.0,8038000000.0,-7.56,27.79,6.12,15.12,49945000000.0,54577000000.0,47882000000.0,48904000000.0,453000000.0,334000000.0,750000000.0,1803000000.0,-3844000000.0,14323000000.0,3156000000.0,7778000000.0,3669000000.0,3460000000.0,4852000000.0,7702000000.0,116444000000.0,137412000000.0,110812000000.0,113080000000.0,-17741000000.0,3151000000.0,-8435000000.0,-1573000000.0,10176888200.0,1658807309533.5815,0.0,162.99749755859375,164.77349853515625,162.6427001953125,6
2022-06-30,117917000000.0,112775000000.0,133952000000.0,105960000000.0,9594000000.0,8978000000.0,9802000000.0,8948000000.0,-0.2,-7.56,27.79,6.12,54810000000.0,49945000000.0,54577000000.0,47882000000.0,3145000000.0,453000000.0,334000000.0,750000000.0,-2028000000.0,-3844000000.0,14323000000.0,3156000000.0,3317000000.0,3669000000.0,3460000000.0,4852000000.0,121234000000.0,116444000000.0,137412000000.0,110812000000.0,-6759000000.0,-17741000000.0,3151000000.0,-8435000000.0,10174409620.0,1080624036425.2498,0.0,106.20999908447266,121.81719818115236,150.85440368652343,6
2022-09-30,124576000000.0,117917000000.0,112775000000.0,133952000000.0,10204000000.0,9594000000.0,8978000000.0,9802000000.0,0.28,-0.2,-7.56,27.79,56833000000.0,54810000000.0,49945000000.0,54577000000.0,742000000.0,3145000000.0,453000000.0,334000000.0,2872000000.0,-2028000000.0,-3844000000.0,14323000000.0,2525000000.0,3317000000.0,3669000000.0,3460000000.0,127101000000.0,121234000000.0,116444000000.0,137412000000.0,-4974000000.0,-6759000000.0,-17741000000.0,3151000000.0,10187554818.0,1151193694434.0,0.0,113.0,128.73600158691406,137.91000061035157,6
2022-12-31,146467000000.0,124576000000.0,117917000000.0,112775000000.0,13145000000.0,10204000000.0,9594000000.0,8978000000.0,0.0199999999999999,0.28,-0.2,-7.56,63564000000.0,56833000000.0,54810000000.0,49945000000.0,1695000000.0,742000000.0,3145000000.0,453000000.0,278000000.0,2872000000.0,-2028000000.0,-3844000000.0,2737000000.0,2525000000.0,3317000000.0,3669000000.0,149204000000.0,127101000000.0,121234000000.0,116444000000.0,12581000000.0,-4974000000.0,-6759000000.0,-17741000000.0,10201654176.0,856938950784.0,0.0,84.0,90.64200286865234,113.0540008544922,6
2023-03-31,122584000000.0,146467000000.0,124576000000.0,117917000000.0,11123000000.0,13145000000.0,10204000000.0,9594000000.0,0.31,0.0199999999999999,0.28,-0.2,59567000000.0,63564000000.0,56833000000.0,54810000000.0,619000000.0,1695000000.0,742000000.0,3145000000.0,3172000000.0,278000000.0,2872000000.0,-2028000000.0,4774000000.0,2737000000.0,2525000000.0,3317000000.0,127358000000.0,149204000000.0,127101000000.0,121234000000.0,-9419000000.0,12581000000.0,-4974000000.0,-6759000000.0,10247259757.0,1058439469682.1764,0.0,103.29000091552734,98.9499969482422,100.04200134277345,6
2023-06-30,126702000000.0,122584000000.0,146467000000.0,124576000000.0,11589000000.0,11123000000.0,13145000000.0,10204000000.0,0.65,0.31,0.0199999999999999,0.28,65010000000.0,59567000000.0,63564000000.0,56833000000.0,3735000000.0,619000000.0,1695000000.0,742000000.0,6750000000.0,3172000000.0,278000000.0,2872000000.0,7681000000.0,4774000000.0,2737000000.0,2525000000.0,134383000000.0,127358000000.0,149204000000.0,127101000000.0,5021000000.0,-9419000000.0,12581000000.0,-4974000000.0,10260353688.0,1337539713030.103,0.0,130.36000061035156,129.0679931640625,125.48999786376952,6
2023-09-30,131895000000.0,126702000000.0,122584000000.0,146467000000.0,12131000000.0,11589000000.0,11123000000.0,13145000000.0,0.94,0.65,0.31,0.0199999999999999,68061000000.0,65010000000.0,59567000000.0,63564000000.0,2628000000.0,3735000000.0,619000000.0,1695000000.0,9879000000.0,6750000000.0,3172000000.0,278000000.0,11188000000.0,7681000000.0,4774000000.0,2737000000.0,143083000000.0,134383000000.0,127358000000.0,149204000000.0,8738000000.0,5021000000.0,-9419000000.0,12581000000.0,10317750796.0,1311592509526.0688,0.0,127.12000274658205,140.38999938964844,138.26599731445313,6
2023-12-31,156752000000.0,131895000000.0,126702000000.0,122584000000.0,13820000000.0,12131000000.0,11589000000.0,11123000000.0,1.01,0.94,0.65,0.31,77408000000.0,68061000000.0,65010000000.0,59567000000.0,4197000000.0,2628000000.0,3735000000.0,619000000.0,10624000000.0,9879000000.0,6750000000.0,3172000000.0,13209000000.0,11188000000.0,7681000000.0,4774000000.0,169961000000.0,143083000000.0,134383000000.0,127358000000.0,27877000000.0,8738000000.0,5021000000.0,-9419000000.0,10334030586.0,1570152632466.4067,0.0,151.94000244140625,153.4199981689453,147.95199584960938,6
